arm,theta,rho,seed,cca_s,mcc_s,gap_s,cca_ab,mcc_ab,gap_ab
mix_1000,0.0,0.2,7,0.9531866370833216,0.7210123423398803,0.2321742947434412,0.9531866370833216,0.7210123423398803,0.2321742947434412
mix_1000,0.0,0.05,6,0.9416379959942032,0.9112487104957948,0.0303892854984081,0.9416379959942032,0.9112487104957948,0.0303892854984081
mix_1000,0.0,0.05,7,0.6922857952004016,0.5957967509783599,0.0964890442220416,0.6922857952004016,0.5957967509783599,0.0964890442220416
mix_1000,0.7853981633974483,1.0,6,0.9910575520129836,0.8582709738125,0.1327865782004836,0.9910575520028212,0.955388017524982,0.0356695344778389
mix_1000,0.7853981633974483,1.0,7,0.9891780830713824,0.8864628013672085,0.1027152817041739,0.9891780831964756,0.9365413465930892,0.0526367366033865
mix_1000,0.7853981633974483,0.6,6,0.5060899939703031,0.6187845908195293,-0.1126945968492262,0.5060899941734938,0.4513146338908415,0.0547753602826522
mix_1000,0.7853981633974483,0.6,7,0.9730440964216828,0.8873829838055242,0.0856611126161585,0.9730440960506522,0.7565461372318515,0.2164979588188007
mix_1000,0.7853981633974483,0.2,6,0.5118346870999871,0.6176041929459483,-0.1057695058459611,0.5118346857756406,0.4776892667273985,0.034145419048242
mix_1000,0.7853981633974483,0.2,7,0.4426231606180751,0.3679062594018679,0.0747169012162072,0.4426231604397763,0.4384488791664243,0.0041742812733519
mix_1000,0.7853981633974483,0.05,6,0.5704663127276353,0.6771357926949828,-0.1066694799673475,0.5704663132144995,0.5162531107153487,0.0542132024991507
