rho,adv_lambda,seed,overlap,bio_recovery,bio_recovery_shared,batch_removed,source_leakage,ilisi,off_manifold_latent
0.35,0.0,2,0.35,0.999086320400238,0.9841912984848022,0.3533333333333335,0.8233333333333333,0.34382388127207264,11.696513042451777
0.35,0.3,2,0.35,0.9991100430488586,0.9841716289520264,0.363,0.8185,0.3480403864458921,9.033104808654636
0.35,1.0,2,0.35,0.9991024732589722,0.9836912751197815,0.3676666666666666,0.8161666666666667,0.3438241472455268,11.29025470811197
0.35,3.0,2,0.35,0.9990713000297546,0.9838381409645081,0.3530000000000002,0.8234999999999999,0.34626693991269675,10.071860843598603
0.35,10.0,2,0.35,0.9989261627197266,0.9796226620674133,0.3700000000000001,0.815,0.3573089869992152,11.20573540710796
0.35,30.0,2,0.35,0.9982509613037109,0.966790497303009,0.3400000000000001,0.83,0.34802332802214186,15.681451730705346
0.35,100.0,2,0.35,0.9936608672142029,0.9097327589988708,0.32133333333333347,0.8393333333333333,0.3113250022028804,12.794089688043197
0.6,0.0,0,0.6,0.999151885509491,0.9964947700500488,0.5936666666666666,0.7031666666666667,0.5624133155765492,1.1406504859524116
0.6,0.3,0,0.6,0.9991523027420044,0.9964998960494995,0.5900000000000001,0.705,0.5618860381482045,1.1642360612272897
0.6,1.0,0,0.6,0.9991565942764282,0.9965232014656067,0.5146666666666668,0.7426666666666666,0.5395019703021027,1.2411809479085145
0.6,3.0,0,0.6,0.999125063419342,0.9964748024940491,0.5696666666666665,0.7151666666666667,0.5625560716301512,1.2505077494963144
0.6,10.0,0,0.6,0.9988194704055786,0.995811402797699,0.5866666666666667,0.7066666666666667,0.5598244841882591,1.3072127185528037
0.6,30.0,0,0.6,0.9980145692825317,0.9932818412780762,0.5963333333333334,0.7018333333333333,0.5675603564245981,1.5618298166091702
