arm,rho,seed,cca,mcc,gap,batch_removed
faithful,0.05,12,0.9900846980143044,0.8803432421573658,0.1098718147672879,0.0606666666666666
faithful,0.05,13,0.9899353511428248,0.7536635794667339,0.2363324496095002,0.0659999999999998
faithful,0.05,14,0.9928236074720802,0.7628785375607677,0.2299346356223572,0.0673333333333332
faithful,0.05,15,0.991476720256026,0.9219696097468646,0.0695100713776888,0.0693333333333332
faithful,0.05,16,0.9925239931750612,0.960751538610844,0.0316848421317819,0.0686666666666666
faithful,0.05,17,0.9925725492456204,0.9822729102440176,0.010332619284179,0.0666666666666666
faithful,0.05,18,0.9924159844109326,0.9373512165134604,0.054979906854133,0.0606666666666666
faithful,0.05,19,0.991482336784337,0.9913222837355712,0.0001940606611425,0.0693333333333332
faithful,0.05,20,0.9926260345223676,0.8802110096309756,0.1123882861596015,0.0693333333333332
faithful,0.05,21,0.9941681706190202,0.8214637315089679,0.1727781827861181,0.0486666666666666
faithful,0.05,22,0.992864079953988,0.9800548777917708,0.0127869190860999,0.056
faithful,0.05,23,0.9923984173962777,0.9719604864265712,0.0203797640599036,0.05
faithful,0.05,24,0.9919981130853768,0.8366546590445483,0.1553203824305611,0.0699999999999998
faithful,0.2,0,0.993099195868302,0.8824006333575988,0.1107764591476928,0.2119999999999999
faithful,0.2,1,0.991540831720545,0.9739020851025464,0.0176241991614055,0.2106666666666665
faithful,0.2,2,0.9951147042933638,0.8767949559866379,0.118234244034006,0.2273333333333331
faithful,0.2,3,0.992699766192206,0.8741813259688298,0.1185935796965089,0.2033333333333331
faithful,0.2,4,0.992952086953947,0.8825063304319112,0.1103789514912143,0.2119999999999999
faithful,0.2,5,0.9915181059244328,0.9746603074243214,0.01685819591605,0.1866666666666667
faithful,0.2,6,0.9910263027799614,0.9807223941519893,0.0104082973436558,0.2193333333333331
faithful,0.2,7,0.9903550181909778,0.7916847641598359,0.1985933434814439,0.2106666666666665
faithful,0.2,8,0.99165286304335,0.9879687142975008,0.0036042681827077,0.1933333333333333
faithful,0.2,9,0.9917558997910438,0.9897584995587776,0.0019126375702023,0.2046666666666667
faithful,0.2,10,0.9936427553010444,0.8395027021268359,0.1541197304944125,0.1853333333333333
faithful,0.2,11,0.991700573509936,0.953165808345482,0.038537186986625,0.1806666666666667
faithful,0.2,12,0.9925895778788744,0.9024215972586483,0.0902478950068117,0.2073333333333331
faithful,0.2,13,0.9923867108515289,0.8205316171780317,0.1717823787840502,0.1993333333333333
faithful,0.2,14,0.99269176771012,0.9840990969618048,0.0085548645477041,0.1913333333333333
faithful,0.2,15,0.992371275641876,0.849675209058153,0.1427679316057485,0.1960000000000001
faithful,0.2,16,0.9935021122753516,0.964201378155602,0.0293000616304219,0.1959999999999999
faithful,0.2,17,0.9923848461712416,0.9856761587533048,0.0067192459532101,0.1913333333333333
faithful,0.2,18,0.9922698540312986,0.985451269124894,0.0068300297072273,0.1946666666666665
faithful,0.2,19,0.99158591423486,0.991517563134917,5.405792041479618e-05,0.2033333333333333
faithful,0.2,20,0.9927638237335276,0.8583271547062201,0.1345458929647958,0.1819999999999999
faithful,0.2,21,0.9915740557105062,0.9459443151090698,0.0456051580843105,0.2059999999999999
faithful,0.2,22,0.9917197969385054,0.7469903752618725,0.2446663441241806,0.1880000000000001
faithful,0.2,23,0.9932482039396228,0.9228057287118532,0.0704549739357905,0.1706666666666665
faithful,0.2,24,0.9936160696701436,0.7565703275575912,0.2370182697498837,0.2059999999999999
faithful,0.4,0,0.9940338276676493,0.8769632150887583,0.1171343408147937,0.4133333333333333
faithful,0.4,1,0.99094324710536,0.9874056940008784,0.0035411051814587,0.4253333333333333
faithful,0.4,2,0.994966740861426,0.9046905056031692,0.0903026913000037,0.4246666666666665
faithful,0.4,3,0.993129666489654,0.895294148067235,0.09772644803658,0.4213333333333333
faithful,0.4,4,0.9940951921415114,0.8371133128260038,0.1570797024892585,0.4066666666666667
faithful,0.4,5,0.990790189963926,0.9288147303302772,0.0619080489448277,0.3593333333333333
faithful,0.4,6,0.9918666593343182,0.9705575459544384,0.0213899918498026,0.4053333333333333
faithful,0.4,7,0.9938833253044904,0.779107671356279,0.2148029958986554,0.4100000000000001
faithful,0.4,8,0.991888019069174,0.9876060763791212,0.0042916938153348,0.3966666666666667
faithful,0.4,9,0.9912447226837908,0.9829674041476684,0.0081524212302582,0.4279999999999999
faithful,0.4,10,0.9940716455867062,0.9023073407129188,0.0917628319669757,0.4086666666666667
faithful,0.4,11,0.9916253318399826,0.9645477657425422,0.0272023513625205,0.3853333333333333
faithful,0.4,12,0.9912933092143764,0.8456217001410564,0.145668864748331,0.4206666666666667
faithful,0.4,13,0.9924330924619492,0.9616147928552116,0.0307385864672182,0.4166666666666667
