2026-06-17 14:01:41,224 | INFO |   intestinal epithelial cell vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.7271, floor_q=0.5026)
2026-06-17 14:01:41,224 | INFO |   intestinal epithelial cell vs smooth muscle cell -> inconclusive_underpowered (N*=25, cross=0.659, floor_q=0.2539)
2026-06-17 14:01:41,224 | INFO |   intestinal epithelial cell vs stromal cell -> inconclusive_underpowered (N*=114, cross=0.5116, floor_q=0.1071)
2026-06-17 14:01:41,224 | INFO |   macrophage vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.7834, floor_q=0.3094)
2026-06-17 14:01:41,224 | INFO |   macrophage vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.5188, floor_q=0.2792)
2026-06-17 14:01:41,224 | INFO |   macrophage vs smooth muscle cell -> inconclusive_underpowered (N*=17, cross=0.8146, floor_q=0.3218)
2026-06-17 14:01:41,224 | INFO |   macrophage vs stromal cell -> inconclusive_underpowered (N*=17, cross=0.8796, floor_q=0.2844)
2026-06-17 14:01:41,224 | INFO |   megakaryocyte vs myeloid cell -> inconclusive_underpowered (N*=5, cross=0.5521, floor_q=0.8732)
2026-06-17 14:01:41,224 | INFO |   megakaryocyte vs smooth muscle cell -> inconclusive_underpowered (N*=5, cross=0.5524, floor_q=0.428)
2026-06-17 14:01:41,224 | INFO |   megakaryocyte vs stromal cell -> inconclusive_underpowered (N*=5, cross=0.6287, floor_q=0.4367)
2026-06-17 14:01:41,224 | INFO |   myeloid cell vs smooth muscle cell -> inconclusive_underpowered (N*=6, cross=0.59, floor_q=0.4683)
2026-06-17 14:01:41,224 | INFO |   myeloid cell vs stromal cell -> inconclusive_underpowered (N*=6, cross=0.5814, floor_q=0.4238)
2026-06-17 14:01:41,224 | INFO |   smooth muscle cell vs stromal cell -> inconclusive_underpowered (N*=25, cross=0.4457, floor_q=0.2368)
